,ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Mass_g,Mass_old,L_Edd,v_inf
0,1,202.5333,47.22,2.0723e+37,1.0825e+36,1.3358e+36,1.1488e+35,0.1209,0.1381,0.052421,0.015025,0.0065666,0.025442,87.10613087305876,921.4008676411847,1.0517518679970543,2.862292817679558e+39,0.07684327625905196,0.000786890631265983,0.3441511241722418,0.056298769981386686,1.0368164101010773e+36,2.118842132763074e+37,1.034570529167961e+37,1.8720632689908682e+39,222864.79678600735
1,2,202.5333,47.2205,1.9726000000000002e+37,1.0317000000000001e+36,1.9419000000000002e+36,2.1371e+35,0.7899,0.1857,0.040538,0.011036,0.0053178,0.021216,87.11402641348127,926.8008413567636,1.3846352036274947,2.7245856353591164e+39,0.10116445590249644,0.005141148963085196,0.9083258149408197,0.36782794382379946,9.869343485814723e+35,1.3843452445571152e+38,1.3620159078486146e+37,2.1774745404663308e+40,0.0
2,3,202.5333,47.2211,1.6210000000000002e+37,8.5108e+35,1.5476e+36,2.752e+35,0.7414,0.3206,0.028617,0.007864399999999999,0.0056341,0.018040999999999998,87.12350106206446,933.2808098848112,1.1284776882541558,2.2389502762430943e+39,0.08244903136310215,0.004825481505546732,0.8881678099910104,0.3452432428800669,8.11021281076025e+35,1.2993462011832446e+38,1.1100429622385122e+37,1.9372601481583368e+40,0.0
3,4,202.5325,47.2116,1.5544000000000002e+37,8.1388e+35,1.733e+36,1.4290000000000002e+35,0.9865,0.1034,0.06332,0.01379,0.0078119,0.033181999999999996,92.84254691841706,830.6727631591646,0.9116391919560448,2.1469613259668518e+39,0.0666063397723896,0.006420741172406057,0.9739304624903956,0.4593774738348882,7.776998638522969e+35,1.7288980678004734e+38,8.967467231870502e+36,3.0266776343758046e+40,0.0
4,5,202.5325,47.2122,1.2588000000000002e+37,6.6195e+35,1.4802000000000005e+36,1.2302e+35,1.0707,0.1215,0.050407,0.0099703,0.0065514,0.024992,92.85195519184015,837.1527307589515,0.8122033753719969,1.7386740331491717e+39,0.059341343002415885,0.006968765913122316,1.0005839460922072,0.4985863773289556,6.2980480482325735e+35,1.8764634173278933e+38,7.989352825689151e+36,3.436143691568777e+40,0.0
5,6,202.5325,47.2127,1.4428e+37,7.5649e+35,1.4014e+36,1.3301e+35,0.7687,0.1345,0.05612,0.010537999999999999,0.008475299999999998,0.027624,92.85979541973863,842.5527038015082,0.7476377127238737,1.992817679558012e+39,0.05462403542951184,0.0050031664868003395,0.8983744189957148,0.35795586835973503,7.218639755314552e+35,1.3471910235359595e+38,7.354243596939617e+36,1.9990618183367623e+40,0.0
6,7,202.5325,47.22,2.5569000000000003e+37,1.3325e+36,2.2734e+36,1.7022e+35,0.629,0.087,0.053589,0.013938999999999998,0.0062082,0.02785,92.97426275499048,921.3923151794424,1.5113772570656423,3.531629834254144e+39,0.11042450565599436,0.004093914036942128,0.8400981896276285,0.29290261636304576,1.2792722477379938e+36,1.1023587274673063e+38,1.4866875127044718e+37,1.54817115139055e+40,0.0
7,8,202.5325,47.2205,2.353e+37,1.2274e+36,3.7515000000000003e+36,3.4611e+35,1.5516,0.1124,0.038653,0.009558,0.0049543,0.022638,92.98210298393002,926.7922889365833,1.7921635904698126,3.25e+39,0.13093936514336854,0.010098755198282044,1.1023160545451272,0.7225241646246452,1.1772566775890724e+36,2.7192683649257122e+38,1.7628869418400685e+37,6.695468836964511e+40,0.0
8,9,202.5325,47.2211,1.219e+37,6.4402e+35,2.4065000000000003e+36,2.2078e+35,1.8891,0.1122,0.017813,0.0046321,0.0039533,0.012976,92.99151125882601,933.2722575144293,1.2480014385861429,1.6837016574585638e+39,0.09118169621091447,0.012295410186307431,1.1486022701098342,0.879685743356804,6.098920059418102e+35,3.3107565533521282e+38,1.2276141816408526e+37,9.255682143683795e+40,0.0
9,10,202.5317,47.2116,1.8666e+37,9.7473e+35,1.7931e+36,2.1323e+35,0.7512,0.155,0.07292699999999999,0.014113999999999996,0.0094863,0.038676999999999996,98.71160803581222,830.6642701380375,0.9704272993609656,2.5781767955801104e+39,0.07090152660829811,0.0048892658577916175,0.8987762987188529,0.3498067494625119,9.339002611082714e+35,1.3165212656175526e+38,9.545744725235144e+36,1.9436059420201685e+40,0.0
